16/08/2019 18:00,"b""@tl_dudley @realDonaldTrump He's thinking of TIM APPLE, the COOK.""","""@tl_dudley @realDonaldTrump He's thinking of TIM APPLE, the COOK."""
16/08/2019 18:00,b'@realDonaldTrump You mean Tim Apple - so dumb','@realDonaldTrump You mean Tim Apple - so dumb'
16/08/2019 18:00,b'@Stizmah Have this \xf0\x9f\xa4\x97\xe2\x9d\xa4\xef\xb8\x8f','@Stizmah Have this \xf0\x9f\xa4\x97\xe2\x9d\xa4\xef\xb8\x8f'
16/08/2019 18:00,b'@realDonaldTrump Must be bored to tweet your every move... Who really cares. Try not to bore Mr Apple.','@realDonaldTrump Must be bored to tweet your every move... Who really cares. Try not to bore Mr Apple.'
16/08/2019 18:00,"b'@panzer Compared to Google\xe2\x80\x99s approach (did they pause only in EU or worldwide, never sure when I read TechCrunch or\xe2\x80\xa6 https://t.co/OXU465pJlJ'","'@panzer Compared to Google\xe2\x80\x99s approach (did they pause only in EU or worldwide, never sure when I read TechCrunch or\xe2\x80\xa6 https://t.co/OXU465pJlJ'"
16/08/2019 18:00,"b'#PowerTripInitials I, Maureen from Apple Valley was shouting \xe2\x80\x9cFirst Avenue\xe2\x80\x9d at her radio when the awesome four women competition was held.'","'#PowerTripInitials I, Maureen from Apple Valley was shouting \xe2\x80\x9cFirst Avenue\xe2\x80\x9d at her radio when the awesome four women competition was held.'"
16/08/2019 18:00,b'@PeePooPoopWhoop because apple music is better','@PeePooPoopWhoop because apple music is better'
16/08/2019 18:00,b'@carlos_0819 Fuck that green apple \xf0\x9f\xa4\xa2','@carlos_0819 Fuck that green apple \xf0\x9f\xa4\xa2'
16/08/2019 18:00,b'@brianbeutler @tim_cook @Apple Falling far from the jobs numbers.','@brianbeutler @tim_cook @Apple Falling far from the jobs numbers.'
16/08/2019 18:00,b'@weejockmaley @deezaintmypants Well you can already contain it.  If you tax the right ones.  Apple pays in Ireland\xe2\x80\xa6 https://t.co/SaIp5ZwDsH','@weejockmaley @deezaintmypants Well you can already contain it.  If you tax the right ones.  Apple pays in Ireland\xe2\x80\xa6 https://t.co/SaIp5ZwDsH'
16/08/2019 18:00,b'@Gizmodo Apple is planning to buy Red - you heard it here first.','@Gizmodo Apple is planning to buy Red - you heard it here first.'
16/08/2019 18:00,b'@jackhauen LOL. My trap is Apple cider vinegar with citrus dish soap. That\xe2\x80\x99s it. It works alarmingly well.','@jackhauen LOL. My trap is Apple cider vinegar with citrus dish soap. That\xe2\x80\x99s it. It works alarmingly well.'
16/08/2019 18:00,"b'@realDonaldTrump Oh, you mean Tim Apple! I was sure to whom you were referring!'","'@realDonaldTrump Oh, you mean Tim Apple! I was sure to whom you were referring!'"
16/08/2019 18:00,b'@realDonaldTrump This is not News!  Apple has spent vasts amounts of money for years.','@realDonaldTrump This is not News!  Apple has spent vasts amounts of money for years.'
16/08/2019 18:00,b'@Doublecatte Peaw&gt;apple&gt;p l u m p k i n','@Doublecatte Peaw&gt;apple&gt;p l u m p k i n'
16/08/2019 18:00,b'@samstein Mr Apple doesn\xe2\x80\x99t seem to give a fuck.','@samstein Mr Apple doesn\xe2\x80\x99t seem to give a fuck.'
